Team,Years,Rk,% Victory,Gp,Gw,GL,Pts+,Pts-,Pts+ /g,Pts- /g,Diff,Expected Winning %
Boston Celtics,2024,1,78.1,82,64,18,9887,8957,120.6,109.2,11.4,79.8
Boston Celtics,2023,2,69.5,82,57,25,9671,9136,117.9,111.4,6.5,68.8
Boston Celtics,2022,6,62.2,82,51,31,9164,8567,111.8,104.5,7.3,71.9
Boston Celtics,2021,16,50.0,72,36,36,8109,8004,112.6,111.2,1.4,54.5
Boston Celtics,2020,5,66.7,72,48,24,8183,7729,113.7,107.3,6.4,68.9
Oklahoma City Thunder,2024,2,69.5,82,57,25,9847,9239,120.1,112.7,7.4,70.8
Oklahoma City Thunder,2023,20,48.8,82,40,42,9633,9544,117.5,116.4,1.1,53.2
Oklahoma City Thunder,2022,27,29.3,82,24,58,8506,9170,103.7,111.8,-8.1,26.0
Oklahoma City Thunder,2021,26,31.0,71,22,49,7447,8204,104.9,115.5,-10.6,20.6
Oklahoma City Thunder,2020,10,61.1,72,44,28,7950,7807,110.4,108.4,2.0,56.3
Denver Nuggets,2024,3,69.5,82,57,25,9418,8987,114.9,109.6,5.3,65.7
Denver Nuggets,2023,4,64.6,82,53,29,9495,9222,115.8,112.5,3.3,60.0
Denver Nuggets,2022,11,58.5,82,48,34,9243,9054,112.7,110.4,2.3,57.1
Denver Nuggets,2021,6,65.3,72,47,25,8284,7929,115.1,110.1,5.0,64.8
Denver Nuggets,2020,6,63.0,73,46,27,8124,7970,111.3,109.2,2.1,56.6
Minnesota Timberwolves,2024,4,68.3,82,56,26,9264,8735,113.0,106.5,6.5,69.4
Minnesota Timberwolves,2023,16,51.2,82,42,40,9494,9497,115.8,115.8,0.0,49.9
Minnesota Timberwolves,2022,12,56.1,82,46,36,9507,9291,115.9,113.3,2.6,57.9
Minnesota Timberwolves,2021,25,31.9,72,23,49,8073,8473,112.1,117.7,-5.6,33.8
Minnesota Timberwolves,2020,28,29.7,64,19,45,7248,7523,113.3,117.5,-4.2,37.3
Los Angeles Clippers,2024,5,62.2,82,51,31,9481,9212,115.6,112.3,3.3,59.9
Los Angeles Clippers,2023,12,53.7,82,44,38,9314,9273,113.6,113.1,0.5,51.5
Los Angeles Clippers,2022,18,51.2,82,42,40,8890,8888,108.4,108.4,0.0,50.1
Los Angeles Clippers,2021,5,65.3,72,47,25,8209,7764,114.0,107.8,6.2,68.5
Los Angeles Clippers,2020,4,68.1,72,49,23,8377,7913,116.3,109.9,6.4,68.8
New York Knicks,2024,6,61.0,82,50,32,9249,8873,112.8,108.2,4.6,64.0
New York Knicks,2023,8,57.3,82,47,35,9514,9274,116.0,113.1,2.9,58.8
New York Knicks,2022,19,45.1,82,37,45,8731,8741,106.5,106.6,-0.1,49.6
New York Knicks,2021,11,56.9,72,41,31,7706,7540,107.0,104.7,2.3,57.5
New York Knicks,2020,25,31.8,66,21,45,6983,7409,105.8,112.3,-6.5,30.5
Dallas Mavericks,2024,7,61.0,82,50,32,9664,9483,117.9,115.6,2.3,56.5
Dallas Mavericks,2023,21,46.3,82,38,44,9366,9360,114.2,114.1,0.1,50.2
Dallas Mavericks,2022,5,63.4,82,52,30,8858,8587,108.0,104.7,3.3,60.6
Dallas Mavericks,2021,9,58.3,72,42,30,8094,7933,112.4,110.2,2.2,56.9
Dallas Mavericks,2020,13,57.3,75,43,32,8776,8405,117.0,112.1,4.9,64.6
New Orleans Pelicans,2024,8,59.8,82,49,33,9436,9074,115.1,110.7,4.4,63.3
New Orleans Pelicans,2023,15,51.2,82,42,40,9378,9223,114.4,112.5,1.9,55.8
New Orleans Pelicans,2022,20,43.9,82,36,46,8962,9043,109.3,110.3,-1.0,46.9
New Orleans Pelicans,2021,21,43.7,71,31,40,8139,8149,114.6,114.8,-0.2,49.6
New Orleans Pelicans,2020,21,41.7,72,30,42,8341,8434,115.8,117.1,-1.3,46.2
Phoenix Suns,2024,9,59.8,82,49,33,9532,9281,116.2,113.2,3.0,59.2
Phoenix Suns,2023,9,54.9,82,45,37,9319,9149,113.6,111.6,2.0,56.4
Phoenix Suns,2022,1,78.1,82,64,18,9416,8801,114.8,107.3,7.5,71.9
Phoenix Suns,2021,2,70.8,72,51,21,8300,7881,115.3,109.5,5.8,67.3
Phoenix Suns,2020,16,46.6,73,34,39,8294,8278,113.6,113.4,0.2,50.7
Milwaukee Bucks,2024,10,59.8,82,49,33,9756,9541,119.0,116.4,2.6,57.7
